MortgageID,Address,Zip,City,State,UnitCode,Cost,CustomerID,ClosingDate,InterestRate,APR,LoanTypeID,LoanConsultantID,OfficeLocationID
14,125 Deerborn Ave #14,19801,Wilmington,DE,2,130500,132,11/27/2017,4.00%,4.19%,1,2,1
190,786 Midtown Street #90,19102,Philadelphia,PA,3,312000,295,12/2/2017,4.50%,4.95%,3,3,2
399,259 Central Way #99,7102,Newark,NJ,3,404000,348,12/4/2017,3.75%,4.09%,3,8,4
442,776 Patty St #42,21201,Baltimore,MD,1,104000,112,12/4/2017,3.50%,4.05%,4,9,5
241,448 Market Lane #41,8609,Trenton,NJ,1,138000,69,12/6/2017,3.50%,3.80%,1,5,3
341,259 Central Way #41,7102,Newark,NJ,1,202000,87,12/9/2017,4.50%,4.50%,2,7,4
354,259 Central Way #54,7102,Newark,NJ,3,404000,331,12/9/2017,3.50%,3.82%,3,7,4
127,786 Midtown Street #27,19102,Philadelphia,PA,2,234000,156,12/10/2017,3.75%,4.16%,2,4,2
286,448 Market Lane #86,8609,Trenton,NJ,3,276000,312,12/12/2017,4.25%,4.30%,2,5,3
414,776 Patty St #14,21201,Baltimore,MD,3,208000,353,12/12/2017,4.25%,4.30%,2,9,5
300,448 Market Lane #100,8609,Trenton,NJ,3,276000,317,12/13/2017,3.50%,3.83%,1,5,3
211,448 Market Lane #11,8609,Trenton,NJ,2,207000,182,12/20/2017,4.00%,4.91%,4,6,3
122,786 Midtown Street #22,19102,Philadelphia,PA,4,390000,401,12/26/2017,3.75%,4.52%,1,3,2
53,125 Deerborn Ave #53,19801,Wilmington,DE,4,217500,388,12/28/2017,4.00%,4.29%,2,1,1
279,448 Market Lane #79,8609,Trenton,NJ,2,207000,208,12/29/2017,3.50%,3.54%,3,5,3
393,259 Central Way #93,7102,Newark,NJ,1,202000,98,12/29/2017,3.75%,4.56%,3,7,4
287,448 Market Lane #87,8609,Trenton,NJ,2,207000,210,12/31/2017,4.50%,4.75%,4,6,3
